sa2,sa2_name,abstudy_living_allowance,abstudy_non_living_allowance,age_pension,austudy,carer_allowance,carer_allowance_child_health_care_card_only,carer_payment,commonwealth_rent_assistance,commonwealth_seniors_health_card,disability_support_pension,family_tax_benefit_a,family_tax_benefit_b,health_care_card,jobseeker_payment,low_income_card,parenting_payment_partnered,parenting_payment_single,pension_concession_card,special_benefit,youth_allowance_other,youth_allowance_student_and_apprentice
11007,Braidwood,5,5,505,5,80,5,55,150,170,140,215,160,150,125,15,5,30,795,0,10,5
11008,Karabar,5,15,750,5,200,5,75,295,145,295,450,380,335,250,25,15,100,1380,0,25,15
11009,Queanbeyan,5,5,1060,5,165,5,65,580,170,400,415,340,340,300,35,15,75,1770,5,35,20
11010,Queanbeyan - East,0,5,340,5,70,5,20,250,70,140,215,175,150,115,20,5,45,610,0,10,10
11012,Queanbeyan West - Jerrabomberra,5,5,555,5,175,0,40,200,155,150,360,280,250,130,25,10,65,875,0,5,15
11610,Googong,0,5,110,5,70,0,15,55,30,40,180,125,100,20,10,5,20,190,0,5,5
11611,Queanbeyan Surrounds,5,5,860,10,215,5,60,240,350,175,415,310,280,140,20,10,80,1265,0,5,20
11013,Bombala,0,0,345,0,65,0,35,110,60,110,120,100,90,70,20,5,20,565,0,10,5
11014,Cooma,0,5,970,5,160,5,65,490,155,295,360,275,245,200,35,15,70,1530,5,5,15
11015,Cooma Surrounds,5,0,400,5,65,0,25,60,115,90,140,90,105,90,10,5,15,595,0,5,5
11016,Jindabyne - Berridale,0,5,490,10,60,5,20,195,210,90,255,160,200,120,30,10,20,690,5,5,15
11017,Batemans Bay,10,35,1695,10,320,5,150,770,290,515,545,440,485,450,45,20,135,2790,5,45,10
11018,Batemans Bay - South,5,15,1815,5,315,5,155,655,370,390,515,400,380,325,45,15,130,2705,0,30,15
11019,Bega - Tathra,5,15,1355,10,250,5,105,590,255,415,595,460,400,310,45,20,100,2210,0,50,35
11020,Bega-Eden Hinterland,5,5,1335,15,265,5,135,305,275,445,600,425,445,360,50,30,90,2255,0,20,20
11021,Broulee - Tomakin,5,5,665,5,95,0,30,210,195,115,155,120,130,90,20,5,25,905,0,5,15
11022,Deua - Wadbilliga,0,0,5,0,5,0,5,5,5,5,5,5,5,0,5,0,0,15,0,0,5
11023,Eden,5,15,675,5,95,5,60,315,120,220,235,185,185,185,20,20,45,1125,0,20,5
11024,Eurobodalla Hinterland,0,10,495,5,105,0,55,165,145,190,210,155,185,170,25,10,35,905,0,20,5
11025,Merimbula - Tura Beach,5,5,2285,5,260,5,100,690,500,385,540,400,335,260,65,20,85,3070,5,20,20
11026,Moruya - Tuross Head,10,20,1750,5,285,5,140,540,345,500,480,360,375,335,60,20,85,2745,5,30,15
11027,Narooma - Bermagui,5,10,2170,5,300,5,150,750,500,505,520,405,430,385,90,25,110,3200,5,35,10
11539,Goulburn,10,20,3410,20,700,15,335,1745,500,1105,1525,1235,1105,930,85,55,365,5855,5,85,55
11540,Goulburn Surrounds,5,10,1575,5,340,5,165,420,405,375,620,430,455,325,60,30,100,2455,5,30,25
11541,Yass,5,5,830,5,170,0,70,350,170,200,295,220,215,140,20,5,50,1250,0,15,15
11542,Yass Surrounds,0,0,720,5,175,5,50,165,310,175,380,265,280,135,25,15,40,1085,5,15,25
11543,Young,5,10,1645,5,300,5,160,890,255,540,810,630,525,405,45,40,185,2795,5,45,20
11544,Young Surrounds,5,5,1165,5,240,5,130,355,155,360,445,325,325,285,45,25,80,1920,0,15,15
11028,Avoca Beach - Copacabana,5,5,615,10,90,5,30,270,235,100,255,190,200,95,15,10,40,840,0,10,40
11029,Box Head - MacMasters Beach,5,5,1570,5,250,5,85,575,500,225,355,245,285,185,25,15,50,2050,0,10,25
11030,Calga - Kulnura,0,5,430,5,65,5,40,230,105,140,195,145,160,130,15,10,35,725,0,10,10
11031,Erina - Green Point,5,5,2775,10,375,5,110,1120,580,430,510,380,430,255,40,10,75,3595,5,10,55
