sa2_code,sa2_name,usual_resident_population,irsd_score,irsd_rank_aus,irsd_decile_aus,irsd_percentile_aus,state_name,irsd_rank_state,irsd_decile_state,irsd_percentile_state,irsd_min_sa1_score,irsd_max_sa1_score,irsd_pct_pop_no_sa1_score,abstudy_living_allowance,abstudy_non_living_allowance,age_pension,austudy,carer_allowance,carer_allowance_child_health_care_card_only,carer_payment,commonwealth_rent_assistance,commonwealth_seniors_health_card,disability_support_pension,family_tax_benefit_a,family_tax_benefit_b,health_care_card,jobseeker_payment,low_income_card,parenting_payment_partnered,parenting_payment_single,pension_concession_card,special_benefit,youth_allowance_other,youth_allowance_student_and_apprentice
101021007,Braidwood,4343.0,1024.286387,1313.0,6.0,56.0,NSW,368.0,6.0,59.0,978.8743631,1096.599629,0.0,5.0,5.0,505.0,5.0,80.0,5.0,55.0,150.0,170.0,140.0,215.0,160.0,150.0,125.0,15.0,5.0,30.0,795.0,0.0,10.0,5.0
101021008,Karabar,8517.0,994.0937235,968.0,5.0,42.0,NSW,273.0,5.0,44.0,693.0492282,1111.060999,0.0,5.0,15.0,750.0,5.0,200.0,5.0,75.0,295.0,145.0,295.0,450.0,380.0,335.0,250.0,25.0,15.0,100.0,1380.0,0.0,25.0,15.0
101021009,Queanbeyan,11342.0,1009.758824,1151.0,5.0,49.0,NSW,328.0,6.0,53.0,904.784671,1085.635078,0.001587022,5.0,5.0,1060.0,5.0,165.0,5.0,65.0,580.0,170.0,400.0,415.0,340.0,340.0,300.0,35.0,15.0,75.0,1770.0,5.0,35.0,20.0
101021010,Queanbeyan - East,5085.0,1024.576053,1315.0,6.0,56.0,NSW,369.0,6.0,59.0,918.1060787,1127.955755,0.006686332,0.0,5.0,340.0,5.0,70.0,5.0,20.0,250.0,70.0,140.0,215.0,175.0,150.0,115.0,20.0,5.0,45.0,610.0,0.0,10.0,10.0
101021012,Queanbeyan West - Jerrabomberra,12744.0,1098.347577,2226.0,10.0,95.0,NSW,580.0,10.0,93.0,842.8196421,1161.181554,0.0,5.0,5.0,555.0,5.0,175.0,0.0,40.0,200.0,155.0,150.0,360.0,280.0,250.0,130.0,25.0,10.0,65.0,875.0,0.0,5.0,15.0
101021610,Googong,6224.0,1128.164641,2348.0,10.0,100.0,NSW,626.0,10.0,100.0,1091.824313,1150.533103,0.0,0.0,5.0,110.0,5.0,70.0,0.0,15.0,55.0,30.0,40.0,180.0,125.0,100.0,20.0,10.0,5.0,20.0,190.0,0.0,5.0,5.0
101021611,Queanbeyan Surrounds,16539.0,1097.82308,2222.0,10.0,95.0,NSW,577.0,10.0,93.0,971.5908032,1148.259303,0.0,5.0,5.0,860.0,10.0,215.0,5.0,60.0,240.0,350.0,175.0,415.0,310.0,280.0,140.0,20.0,10.0,80.0,1265.0,0.0,5.0,20.0
101031013,Bombala,2454.0,965.3029161,642.0,3.0,28.0,NSW,180.0,3.0,29.0,853.3616682,1080.367759,0.0,0.0,0.0,345.0,0.0,65.0,0.0,35.0,110.0,60.0,110.0,120.0,100.0,90.0,70.0,20.0,5.0,20.0,565.0,0.0,10.0,5.0
101031014,Cooma,6761.0,982.1728261,815.0,4.0,35.0,NSW,232.0,4.0,38.0,871.9157395,1071.771859,0.001922793,0.0,5.0,970.0,5.0,160.0,5.0,65.0,490.0,155.0,295.0,360.0,275.0,245.0,200.0,35.0,15.0,70.0,1530.0,5.0,5.0,15.0
101031015,Cooma Surrounds,3472.0,1038.942345,1521.0,7.0,65.0,NSW,414.0,7.0,67.0,913.5948345,1121.549656,0.001728111,5.0,0.0,400.0,5.0,65.0,0.0,25.0,60.0,115.0,90.0,140.0,90.0,105.0,90.0,10.0,5.0,15.0,595.0,0.0,5.0,5.0
