state_code,state_name,sa2_code,sa2_name,pop_2022
1,New South Wales,101021007,Braidwood,4364
1,New South Wales,101021008,Karabar,8535
1,New South Wales,101021009,Queanbeyan,11376
1,New South Wales,101021010,Queanbeyan - East,5093
1,New South Wales,101021012,Queanbeyan West - Jerrabomberra,12775
1,New South Wales,101021610,Googong,6723
1,New South Wales,101021611,Queanbeyan Surrounds,16841
1,New South Wales,101031013,Bombala,2463
1,New South Wales,101031014,Cooma,6663
1,New South Wales,101031015,Cooma Surrounds,3503
1,New South Wales,101031016,Jindabyne - Berridale,8199
1,New South Wales,101041017,Batemans Bay,8635
1,New South Wales,101041018,Batemans Bay - South,8953
1,New South Wales,101041019,Bega - Tathra,8869
1,New South Wales,101041020,Bega-Eden Hinterland,9623
1,New South Wales,101041021,Broulee - Tomakin,3823
1,New South Wales,101041022,Deua - Wadbilliga,41
1,New South Wales,101041023,Eden,3410
1,New South Wales,101041024,Eurobodalla Hinterland,3562
1,New South Wales,101041025,Merimbula - Tura Beach,11495
1,New South Wales,101041026,Moruya - Tuross Head,8577
1,New South Wales,101041027,Narooma - Bermagui,9914
1,New South Wales,101051539,Goulburn,24829
1,New South Wales,101051540,Goulburn Surrounds,13935
1,New South Wales,101061541,Yass,6782
1,New South Wales,101061542,Yass Surrounds,12782
1,New South Wales,101061543,Young,10987
1,New South Wales,101061544,Young Surrounds,7671
1,New South Wales,102011028,Avoca Beach - Copacabana,7477
1,New South Wales,102011029,Box Head - MacMasters Beach,11051
1,New South Wales,102011030,Calga - Kulnura,4691
1,New South Wales,102011031,Erina - Green Point,14648
1,New South Wales,102011032,Gosford - Springfield,21682
1,New South Wales,102011033,Kariong,6409
1,New South Wales,102011034,Kincumber - Picketts Valley,7527
1,New South Wales,102011035,Narara,7269
1,New South Wales,102011036,Niagara Park - Lisarow,8193
1,New South Wales,102011037,Point Clare - Koolewong,6606
1,New South Wales,102011038,Saratoga - Davistown,7204
1,New South Wales,102011039,Terrigal - North Avoca,14897
1,New South Wales,102011040,Umina - Booker Bay - Patonga,24830
1,New South Wales,102011041,Wamberal - Forresters Beach,10671
1,New South Wales,102011042,Woy Woy - Blackwall,14271
1,New South Wales,102011043,Wyoming,11339
1,New South Wales,102021044,Bateau Bay - Killarney Vale,22894
1,New South Wales,102021045,Blue Haven - San Remo,11459
1,New South Wales,102021046,Budgewoi - Buff Point - Halekulani,9868
1,New South Wales,102021047,Chittaway Bay - Tumbi Umbi,16182
1,New South Wales,102021048,Gorokan - Kanwal - Charmhaven,22575
1,New South Wales,102021049,Jilliby - Yarramalong,3449
1,New South Wales,102021050,Lake Munmorah - Mannering Park,11030
1,New South Wales,102021051,Ourimbah - Fountaindale,4909
1,New South Wales,102021052,Summerland Point - Gwandalan,6629
1,New South Wales,102021053,The Entrance,15814
1,New South Wales,102021054,Toukley - Norah Head,9897
1,New South Wales,102021055,Tuggerah - Kangy Angy,5237
1,New South Wales,102021056,Warnervale - Wadalba,20950
1,New South Wales,102021057,Wyong,9272
1,New South Wales,103011059,Bathurst - East,12665
1,New South Wales,103011060,Bathurst Surrounds,6939
1,New South Wales,103011061,Oberon,4845
1,New South Wales,103011612,Bathurst - South,10710
1,New South Wales,103011613,Bathurst - West,14481
1,New South Wales,103021062,Condobolin,6390
1,New South Wales,103021063,Cowra,9239
1,New South Wales,103021064,Cowra Surrounds,5724
1,New South Wales,103021065,Forbes,10034
1,New South Wales,103021066,Grenfell,3590
1,New South Wales,103021067,Parkes (NSW),10961
1,New South Wales,103021068,Parkes Surrounds,3199
1,New South Wales,103021069,West Wyalong,5456
1,New South Wales,103031070,Lithgow,12367
1,New South Wales,103031071,Lithgow Surrounds,8438
1,New South Wales,103031072,Mudgee,12559
1,New South Wales,103031073,Mudgee Surrounds - East,3357
1,New South Wales,103031074,Mudgee Surrounds - West,11159
1,New South Wales,103031075,Wollangambe - Wollemi,0
1,New South Wales,103041076,Blayney,7606
1,New South Wales,103041077,Orange,19125
1,New South Wales,103041078,Orange - North,23226
1,New South Wales,103041079,Orange Surrounds,11857
1,New South Wales,104011080,Grafton,19431
1,New South Wales,104011081,Grafton Surrounds,17107
1,New South Wales,104011082,Maclean - Yamba - Iluka,17575
1,New South Wales,104021083,Bellingen,6154
1,New South Wales,104021084,Coffs Harbour - North,18342
1,New South Wales,104021085,Coffs Harbour - South,11349
1,New South Wales,104021086,Coramba - Nana Glen - Bucca,3971
1,New South Wales,104021087,Dorrigo,3228
1,New South Wales,104021088,Korora - Emerald Beach,10412
1,New South Wales,104021089,Sawtell - Boambee,20194
1,New South Wales,104021090,Urunga,4915
1,New South Wales,104021091,Woolgoolga - Arrawarra,14719
1,New South Wales,105011092,Bourke - Brewarrina,3508
1,New South Wales,105011093,Cobar,4119
1,New South Wales,105011094,Coonamble,4022
1,New South Wales,105011095,Nyngan - Warren,4594
1,New South Wales,105011096,Walgett - Lightning Ridge,5807
1,New South Wales,105021097,Broken Hill,17567
1,New South Wales,105021098,Far West,2289
1,New South Wales,105031099,Coonabarabran,7952
1,New South Wales,105031100,Dubbo - East,10802
1,New South Wales,105031101,Dubbo - South,19965
1,New South Wales,105031102,Dubbo - West,10532
1,New South Wales,105031103,Dubbo Surrounds,6012
1,New South Wales,105031104,Gilgandra,4411
1,New South Wales,105031105,Narromine,6530
1,New South Wales,105031106,Wellington,8938
1,New South Wales,106011107,Branxton - Greta - Pokolbin,13500
1,New South Wales,106011108,Cessnock,23829
1,New South Wales,106011109,Cessnock Surrounds,9347
1,New South Wales,106011110,Dungog,9707
1,New South Wales,106011111,Kurri Kurri - Abermain,21552
1,New South Wales,106011112,Singleton,17415
1,New South Wales,106011113,Singleton Surrounds,5390
1,New South Wales,106021114,Maitland,9130
1,New South Wales,106021116,Maitland - North,8937
1,New South Wales,106021614,East Maitland - Metford,18121
1,New South Wales,106021615,Rutherford (North) - Aberglasslyn,18367
1,New South Wales,106021616,Rutherford (South) - Telarah,8383
1,New South Wales,106021617,Tenambit - East Maitland,10281
